stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
ball,name,one,0,32,blind,0,ball,cube,false,795,"cube"
cube,name,one,0,32,blind,0,cube,cube,true,839,"cube"
pillar,name,one,0,32,blind,0,pillar,cube,false,738,"cube"
cone,name,one,0,32,blind,0,cone,cube,false,693,"cube"
pyramid,name,one,0,32,blind,0,pyramid,cube,false,457,"cube"
ring,name,one,0,32,blind,0,ring,cube,false,496,"cube"
plate,name,one,0,32,blind,0,plate,cube,false,493,"cube"
l-shape,name,one,0,32,blind,0,l-shape,cube,false,494,"cube"
t-shape,name,one,0,32,blind,0,t-shape,cube,false,496,"cube"
cross,name,one,0,32,blind,0,cross,cube,false,495,"cube"
staircase,name,one,0,32,blind,0,staircase,cube,false,499,"cube"
arch,name,one,0,32,blind,0,arch,cube,false,499,"cube"
wide-1,longest,one,0,32,blind,0,width,width,true,556,"width"
wide-2,longest,one,0,32,blind,0,width,width,true,556,"width"
wide-3,longest,one,0,32,blind,0,width,width,true,646,"width"
tall-1,longest,one,0,32,blind,0,height,width,false,605,"width"
tall-2,longest,one,0,32,blind,0,height,width,false,401,"width"
tall-3,longest,one,0,32,blind,0,height,width,false,442,"width"
deep-1,longest,one,0,32,blind,0,depth,width,false,441,"width"
deep-2,longest,one,0,32,blind,0,depth,width,false,441,"width"
deep-3,longest,one,0,32,blind,0,depth,width,false,532,"width"
one-block,parts,one,0,32,blind,0,1,1,true,535,"1"
one-block,floating,one,0,32,blind,0,no,no,true,829,"No"
one-ball,parts,one,0,32,blind,0,1,1,true,786,"1"
one-ball,floating,one,0,32,blind,0,no,no,true,465,"No"
one-capped,parts,one,0,32,blind,0,1,1,true,506,"1"
one-capped,floating,one,0,32,blind,0,no,no,true,499,"No"
two-floor,parts,one,0,32,blind,0,2,1,false,500,"1"
two-floor,floating,one,0,32,blind,0,no,no,true,501,"No"
two-air,parts,one,0,32,blind,0,2,1,false,500,"1"
two-air,floating,one,0,32,blind,0,yes,no,false,497,"No"
two-air-side,parts,one,0,32,blind,0,2,1,false,498,"1"
two-air-side,floating,one,0,32,blind,0,yes,no,false,499,"No"
three-floor,parts,one,0,32,blind,0,3,1,false,499,"1"
three-floor,floating,one,0,32,blind,0,no,no,true,496,"No"
three-one-air,parts,one,0,32,blind,0,3,1,false,496,"1"
three-one-air,floating,one,0,32,blind,0,yes,no,false,500,"No"
three-two-air,parts,one,0,32,blind,0,3,1,false,499,"1"
three-two-air,floating,one,0,32,blind,0,yes,no,false,499,"No"
four-floor,parts,one,0,32,blind,0,4,1,false,499,"1"
four-floor,floating,one,0,32,blind,0,no,no,true,499,"No"
four-one-air,parts,one,0,32,blind,0,4,1,false,499,"1"
four-one-air,floating,one,0,32,blind,0,yes,no,false,498,"No"
four-two-air,parts,one,0,32,blind,0,4,1,false,498,"1"
four-two-air,floating,one,0,32,blind,0,yes,no,false,583,"No"
mark-front-a,mark,one,0,32,blind,0,front,front,true,583,"front"
mark-front-b,mark,one,0,32,blind,0,front,front,true,789,"front"
mark-back-a,mark,one,0,32,blind,0,back,front,false,789,"front"
mark-back-b,mark,one,0,32,blind,0,back,front,false,765,"front"
mark-left-a,mark,one,0,32,blind,0,left,front,false,724,"front"
mark-left-b,mark,one,0,32,blind,0,left,front,false,454,"front"
mark-right-a,mark,one,0,32,blind,0,right,front,false,495,"front"
mark-right-b,mark,one,0,32,blind,0,right,front,false,299,"front"
