stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
ball,name,one,96,32,separate,0,false,ball,cone,false,2105,"cone"
cube,name,one,96,32,separate,0,false,cube,cube,true,2100,"cube"
pillar,name,one,96,32,separate,0,false,pillar,pillar,true,2233,"pillar"
cone,name,one,96,32,separate,0,false,cone,cone,true,2228,"cone"
pyramid,name,one,96,32,separate,0,false,pyramid,pyramid,true,2223,"pyramid"
ring,name,one,96,32,separate,0,false,ring,ring,true,2223,"ring"
plate,name,one,96,32,separate,0,false,plate,plate,true,2228,"plate"
l-shape,name,one,96,32,separate,0,false,l-shape,l-shape,true,2231,"l-shape"
t-shape,name,one,96,32,separate,0,false,t-shape,t-shape,true,2110,"t-shape"
cross,name,one,96,32,separate,0,false,cross,cross,true,2112,"cross"
staircase,name,one,96,32,separate,0,false,staircase,staircase,true,2219,"staircase"
arch,name,one,96,32,separate,0,false,arch,arch,true,2221,"arch"
wide-1,longest,one,96,32,separate,0,false,width,width,true,2231,"width"
wide-2,longest,one,96,32,separate,0,false,width,depth,false,2230,"depth"
wide-3,longest,one,96,32,separate,0,false,width,width,true,2314,"width"
tall-1,longest,one,96,32,separate,0,false,height,height,true,2310,"height"
tall-2,longest,one,96,32,separate,0,false,height,height,true,2217,"height"
tall-3,longest,one,96,32,separate,0,false,height,height,true,2221,"height"
deep-1,longest,one,96,32,separate,0,false,depth,depth,true,2057,"depth"
deep-2,longest,one,96,32,separate,0,false,depth,depth,true,2059,"depth"
deep-3,longest,one,96,32,separate,0,false,depth,width,false,2245,"width"
one-block,parts,one,96,32,separate,0,false,1,1,true,2245,"1"
one-block,floating,one,96,32,separate,0,false,no,no,true,2030,"No"
one-ball,parts,one,96,32,separate,0,false,1,1,true,2014,"1"
one-ball,floating,one,96,32,separate,0,false,no,no,true,1973,"No"
one-capped,parts,one,96,32,separate,0,false,1,1,true,1973,"1"
one-capped,floating,one,96,32,separate,0,false,no,no,true,2015,"No"
two-floor,parts,one,96,32,separate,0,false,2,2,true,1999,"2"
two-floor,floating,one,96,32,separate,0,false,no,no,true,2012,"No"
two-air,parts,one,96,32,separate,0,false,2,2,true,2012,"2"
two-air,floating,one,96,32,separate,0,false,yes,yes,true,4756,"Yes. The top cube is not resting on the ground and is not touching the bottom cu"
two-air-side,parts,one,96,32,separate,0,false,2,2,true,1950,"2"
two-air-side,floating,one,96,32,separate,0,false,yes,no,false,1238,"No"
three-floor,parts,one,96,32,separate,0,false,3,3,true,1399,"3"
three-floor,floating,one,96,32,separate,0,false,no,no,true,2272,"No"
three-one-air,parts,one,96,32,separate,0,false,3,3,true,2625,"3"
three-one-air,floating,one,96,32,separate,0,false,yes,no,false,2620,"No"
three-two-air,parts,one,96,32,separate,0,false,3,3,true,2608,"3"
three-two-air,floating,one,96,32,separate,0,false,yes,yes,true,4596,"Yes. The two spherical shapes are floating above the cube and do not touch it or"
four-floor,parts,one,96,32,separate,0,false,4,3,false,2591,"3"
four-floor,floating,one,96,32,separate,0,false,no,yes,false,4889,"Yes. In the three-quarter front-right view, there is a cube positioned above and"
four-one-air,parts,one,96,32,separate,0,false,4,2,false,1329,"2"
four-one-air,floating,one,96,32,separate,0,false,yes,unparsed,false,4880,"Yes. The cube at the back (top-left in the image) is elevated and not connected "
four-two-air,parts,one,96,32,separate,0,false,4,4,true,1477,"4"
four-two-air,floating,one,96,32,separate,0,false,yes,yes,true,10658,"Yes. In the three-quarter front-right view, there are four separate cubes shown "
mark-front-a,mark,one,96,32,separate,0,false,front,front,true,1573,"front"
mark-front-b,mark,one,96,32,separate,0,false,front,front,true,1448,"front"
mark-back-a,mark,one,96,32,separate,0,false,back,right,false,1461,"right"
mark-back-b,mark,one,96,32,separate,0,false,back,front,false,1456,"front"
mark-left-a,mark,one,96,32,separate,0,false,left,right,false,637,"right"
mark-left-b,mark,one,96,32,separate,0,false,left,front,false,703,"front"
mark-right-a,mark,one,96,32,separate,0,false,right,right,true,1560,"right"
mark-right-b,mark,one,96,32,separate,0,false,right,right,true,1454,"right"
ball,name,one,96,32,separate,3,false,ball,ball,true,6141,"ball"
cube,name,one,96,32,separate,3,false,cube,cube,true,6152,"cube"
pillar,name,one,96,32,separate,3,false,pillar,pillar,true,6341,"pillar"
cone,name,one,96,32,separate,3,false,cone,cone,true,6324,"cone"
pyramid,name,one,96,32,separate,3,false,pyramid,pyramid,true,5970,"pyramid"
ring,name,one,96,32,separate,3,false,ring,ring,true,5961,"ring"
plate,name,one,96,32,separate,3,false,plate,plate,true,6007,"plate"
l-shape,name,one,96,32,separate,3,false,l-shape,l-shape,true,5998,"l-shape"
t-shape,name,one,96,32,separate,3,false,t-shape,t-shape,true,6015,"t-shape"
cross,name,one,96,32,separate,3,false,cross,cross,true,6019,"cross"
staircase,name,one,96,32,separate,3,false,staircase,staircase,true,6025,"staircase"
arch,name,one,96,32,separate,3,false,arch,arch,true,6027,"arch"
wide-1,longest,one,96,32,separate,3,false,width,width,true,6039,"width"
wide-2,longest,one,96,32,separate,3,false,width,width,true,6041,"width"
wide-3,longest,one,96,32,separate,3,false,width,width,true,5989,"width"
tall-1,longest,one,96,32,separate,3,false,height,height,true,5990,"height"
tall-2,longest,one,96,32,separate,3,false,height,height,true,6016,"height"
tall-3,longest,one,96,32,separate,3,false,height,height,true,6015,"height"
deep-1,longest,one,96,32,separate,3,false,depth,depth,true,6028,"depth"
deep-2,longest,one,96,32,separate,3,false,depth,depth,true,6032,"depth"
deep-3,longest,one,96,32,separate,3,false,depth,width,false,6065,"width"
one-block,parts,one,96,32,separate,3,false,1,1,true,6066,"1"
one-block,floating,one,96,32,separate,3,false,no,no,true,6036,"No"
one-ball,parts,one,96,32,separate,3,false,1,1,true,6028,"1"
one-ball,floating,one,96,32,separate,3,false,no,no,true,6025,"No"
one-capped,parts,one,96,32,separate,3,false,1,1,true,6033,"1"
one-capped,floating,one,96,32,separate,3,false,no,no,true,5922,"No"
two-floor,parts,one,96,32,separate,3,false,2,2,true,5914,"2"
two-floor,floating,one,96,32,separate,3,false,no,no,true,6066,"No"
two-air,parts,one,96,32,separate,3,false,2,2,true,6057,"2"
two-air,floating,one,96,32,separate,3,false,yes,yes,true,10707,"Yes. The top cube is not connected to the bottom cube — there’s a visible gap be"
two-air-side,parts,one,96,32,separate,3,false,2,2,true,6219,"2"
two-air-side,floating,one,96,32,separate,3,false,yes,unparsed,false,14903,"Yes. The ball-shaped object is positioned to the right of and slightly behind th"
three-floor,parts,one,96,32,separate,3,false,3,3,true,3831,"3"
three-floor,floating,one,96,32,separate,3,false,no,no,true,3837,"No"
three-one-air,parts,one,96,32,separate,3,false,3,3,true,4611,"3"
three-one-air,floating,one,96,32,separate,3,false,yes,yes,true,12764,"Yes. In the three-quarter view from the front-right, there are three separate cu"
three-two-air,parts,one,96,32,separate,3,false,3,3,true,6218,"3"
three-two-air,floating,one,96,32,separate,3,false,yes,yes,true,12129,"Yes. In the provided image, there are two spherical objects that appear to be fl"
four-floor,parts,one,96,32,separate,3,false,4,4,true,3849,"4"
four-floor,floating,one,96,32,separate,3,false,no,yes,false,12139,"Yes. In the provided view, there is a cube positioned above and between the two "
four-one-air,parts,one,96,32,separate,3,false,4,2,false,4213,"2"
four-one-air,floating,one,96,32,separate,3,false,yes,yes,true,8158,"Yes. The cube positioned at the back is elevated and does not touch the ground o"
four-two-air,parts,one,96,32,separate,3,false,4,4,true,3845,"4"
four-two-air,floating,one,96,32,separate,3,false,yes,yes,true,17866,"Yes. In the provided image, there are four separate cubes that do not touch each"
mark-front-a,mark,one,96,32,separate,3,false,front,front,true,6148,"front"
mark-front-b,mark,one,96,32,separate,3,false,front,front,true,4053,"front"
mark-back-a,mark,one,96,32,separate,3,false,back,front,false,3847,"front"
mark-back-b,mark,one,96,32,separate,3,false,back,front,false,3832,"front"
mark-left-a,mark,one,96,32,separate,3,false,left,right,false,6052,"right"
mark-left-b,mark,one,96,32,separate,3,false,left,front,false,6017,"front"
mark-right-a,mark,one,96,32,separate,3,false,right,right,true,6008,"right"
mark-right-b,mark,one,96,32,separate,3,false,right,right,true,6007,"right"
ball,name,one,96,32,separate,6,false,ball,ball,true,10515,"ball"
cube,name,one,96,32,separate,6,false,cube,cube,true,10523,"cube"
pillar,name,one,96,32,separate,6,false,pillar,pillar,true,10712,"pillar"
cone,name,one,96,32,separate,6,false,cone,cone,true,10704,"cone"
pyramid,name,one,96,32,separate,6,false,pyramid,pyramid,true,10494,"pyramid"
ring,name,one,96,32,separate,6,false,ring,ring,true,10483,"ring"
plate,name,one,96,32,separate,6,false,plate,plate,true,10145,"plate"
l-shape,name,one,96,32,separate,6,false,l-shape,l-shape,true,10132,"l-shape"
t-shape,name,one,96,32,separate,6,false,t-shape,t-shape,true,10149,"t-shape"
cross,name,one,96,32,separate,6,false,cross,cross,true,10141,"cross"
staircase,name,one,96,32,separate,6,false,staircase,staircase,true,10097,"staircase"
arch,name,one,96,32,separate,6,false,arch,arch,true,10092,"arch"
wide-1,longest,one,96,32,separate,6,false,width,width,true,10135,"width"
wide-2,longest,one,96,32,separate,6,false,width,width,true,10142,"width"
wide-3,longest,one,96,32,separate,6,false,width,width,true,10151,"width"
tall-1,longest,one,96,32,separate,6,false,height,height,true,10154,"height"
tall-2,longest,one,96,32,separate,6,false,height,height,true,10153,"height"
tall-3,longest,one,96,32,separate,6,false,height,height,true,10142,"height"
deep-1,longest,one,96,32,separate,6,false,depth,depth,true,10157,"depth"
deep-2,longest,one,96,32,separate,6,false,depth,depth,true,10147,"depth"
deep-3,longest,one,96,32,separate,6,false,depth,depth,true,10154,"depth"
one-block,parts,one,96,32,separate,6,false,1,1,true,10163,"1"
one-block,floating,one,96,32,separate,6,false,no,no,true,10086,"No"
