stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
ball,name,fiveIso,96,32,separate,0,false,ball,ball,true,7394,"ball"
cube,name,fiveIso,96,32,separate,0,false,cube,cube,true,7390,"cube"
pillar,name,fiveIso,96,32,separate,0,false,pillar,pillar,true,7644,"pillar"
cone,name,fiveIso,96,32,separate,0,false,cone,cone,true,7646,"cone"
pyramid,name,fiveIso,96,32,separate,0,false,pyramid,pyramid,true,7676,"pyramid"
ring,name,fiveIso,96,32,separate,0,false,ring,ring,true,7678,"ring"
plate,name,fiveIso,96,32,separate,0,false,plate,plate,true,7515,"plate"
l-shape,name,fiveIso,96,32,separate,0,false,l-shape,l-shape,true,7507,"l-shape"
t-shape,name,fiveIso,96,32,separate,0,false,t-shape,t-shape,true,7670,"t-shape"
cross,name,fiveIso,96,32,separate,0,false,cross,cross,true,7673,"cross"
staircase,name,fiveIso,96,32,separate,0,false,staircase,staircase,true,7677,"staircase"
arch,name,fiveIso,96,32,separate,0,false,arch,arch,true,7681,"arch"
wide-1,longest,fiveIso,96,32,separate,0,false,width,width,true,7634,"width"
wide-2,longest,fiveIso,96,32,separate,0,false,width,width,true,7637,"width"
wide-3,longest,fiveIso,96,32,separate,0,false,width,width,true,7785,"width"
tall-1,longest,fiveIso,96,32,separate,0,false,height,height,true,7787,"height"
tall-2,longest,fiveIso,96,32,separate,0,false,height,height,true,7643,"height"
tall-3,longest,fiveIso,96,32,separate,0,false,height,height,true,7648,"height"
deep-1,longest,fiveIso,96,32,separate,0,false,depth,depth,true,7647,"depth"
deep-2,longest,fiveIso,96,32,separate,0,false,depth,depth,true,7650,"depth"
deep-3,longest,fiveIso,96,32,separate,0,false,depth,depth,true,7672,"depth"
one-block,parts,fiveIso,96,32,separate,0,false,1,1,true,7676,"1"
one-block,floating,fiveIso,96,32,separate,0,false,no,no,true,7389,"No"
one-ball,parts,fiveIso,96,32,separate,0,false,1,1,true,7381,"1"
one-ball,floating,fiveIso,96,32,separate,0,false,no,no,true,7809,"No"
one-capped,parts,fiveIso,96,32,separate,0,false,1,1,true,7803,"1"
one-capped,floating,fiveIso,96,32,separate,0,false,no,no,true,7347,"No"
two-floor,parts,fiveIso,96,32,separate,0,false,2,2,true,7349,"2"
