stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
ball,name,fiveIso,96,32,separate,0,true,ball,ball,true,7661,"ball"
cube,name,fiveIso,96,32,separate,0,true,cube,cube,true,7697,"cube"
pillar,name,fiveIso,96,32,separate,0,true,pillar,pillar,true,7380,"pillar"
cone,name,fiveIso,96,32,separate,0,true,cone,cone,true,7363,"cone"
pyramid,name,fiveIso,96,32,separate,0,true,pyramid,pyramid,true,7400,"pyramid"
ring,name,fiveIso,96,32,separate,0,true,ring,ring,true,7398,"ring"
plate,name,fiveIso,96,32,separate,0,true,plate,plate,true,7335,"plate"
l-shape,name,fiveIso,96,32,separate,0,true,l-shape,l-shape,true,7340,"l-shape"
t-shape,name,fiveIso,96,32,separate,0,true,t-shape,t-shape,true,7406,"t-shape"
cross,name,fiveIso,96,32,separate,0,true,cross,cross,true,7406,"cross"
staircase,name,fiveIso,96,32,separate,0,true,staircase,staircase,true,7259,"staircase"
arch,name,fiveIso,96,32,separate,0,true,arch,arch,true,7259,"arch"
wide-1,longest,fiveIso,96,32,separate,0,true,width,width,true,7273,"width"
wide-2,longest,fiveIso,96,32,separate,0,true,width,width,true,7275,"width"
wide-3,longest,fiveIso,96,32,separate,0,true,width,width,true,7525,"width"
tall-1,longest,fiveIso,96,32,separate,0,true,height,height,true,7524,"height"
tall-2,longest,fiveIso,96,32,separate,0,true,height,height,true,7355,"height"
tall-3,longest,fiveIso,96,32,separate,0,true,height,height,true,7355,"height"
deep-1,longest,fiveIso,96,32,separate,0,true,depth,depth,true,7442,"depth"
deep-2,longest,fiveIso,96,32,separate,0,true,depth,depth,true,7441,"depth"
deep-3,longest,fiveIso,96,32,separate,0,true,depth,depth,true,7507,"depth"
one-block,parts,fiveIso,96,32,separate,0,true,1,1,true,7506,"1"
one-block,floating,fiveIso,96,32,separate,0,true,no,no,true,7199,"no"
one-ball,parts,fiveIso,96,32,separate,0,true,1,1,true,7165,"1"
one-ball,floating,fiveIso,96,32,separate,0,true,no,no,true,7210,"no"
one-capped,parts,fiveIso,96,32,separate,0,true,1,1,true,7210,"1"
one-capped,floating,fiveIso,96,32,separate,0,true,no,no,true,7202,"no"
two-floor,parts,fiveIso,96,32,separate,0,true,2,2,true,7161,"2"
two-floor,floating,fiveIso,96,32,separate,0,true,no,no,true,7098,"no"
two-air,parts,fiveIso,96,32,separate,0,true,2,2,true,7104,"2"
two-air,floating,fiveIso,96,32,separate,0,true,yes,yes,true,7125,"yes"
two-air-side,parts,fiveIso,96,32,separate,0,true,2,2,true,7103,"2"
two-air-side,floating,fiveIso,96,32,separate,0,true,yes,yes,true,7503,"yes"
three-floor,parts,fiveIso,96,32,separate,0,true,3,3,true,7484,"3"
three-floor,floating,fiveIso,96,32,separate,0,true,no,no,true,7154,"no"
three-one-air,parts,fiveIso,96,32,separate,0,true,3,3,true,7166,"3"
three-one-air,floating,fiveIso,96,32,separate,0,true,yes,no,false,7297,"no"
three-two-air,parts,fiveIso,96,32,separate,0,true,3,3,true,7261,"3"
three-two-air,floating,fiveIso,96,32,separate,0,true,yes,yes,true,7135,"yes"
four-floor,parts,fiveIso,96,32,separate,0,true,4,4,true,7135,"4"
four-floor,floating,fiveIso,96,32,separate,0,true,no,yes,false,7091,"yes"
four-one-air,parts,fiveIso,96,32,separate,0,true,4,2,false,7071,"2"
four-one-air,floating,fiveIso,96,32,separate,0,true,yes,yes,true,7360,"yes"
four-two-air,parts,fiveIso,96,32,separate,0,true,4,4,true,7342,"4"
four-two-air,floating,fiveIso,96,32,separate,0,true,yes,yes,true,7055,"yes"
mark-front-a,mark,fiveIso,96,32,separate,0,true,front,front,true,7051,"front"
mark-front-b,mark,fiveIso,96,32,separate,0,true,front,front,true,7280,"front"
mark-back-a,mark,fiveIso,96,32,separate,0,true,back,right,false,7279,"right"
mark-back-b,mark,fiveIso,96,32,separate,0,true,back,back,true,7412,"back"
mark-left-a,mark,fiveIso,96,32,separate,0,true,left,left,true,7413,"left"
mark-left-b,mark,fiveIso,96,32,separate,0,true,left,left,true,7361,"left"
mark-right-a,mark,fiveIso,96,32,separate,0,true,right,right,true,7359,"right"
mark-right-b,mark,fiveIso,96,32,separate,0,true,right,right,true,4808,"right"
