stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
ball,name,one,96,8,separate,0,ball,cube,false,2282,"cube"
cube,name,one,96,8,separate,0,cube,cube,true,2274,"cube"
pillar,name,one,96,8,separate,0,pillar,pillar,true,2109,"pillar"
cone,name,one,96,8,separate,0,cone,pyramid,false,2105,"pyramid"
pyramid,name,one,96,8,separate,0,pyramid,pyramid,true,2215,"pyramid"
ring,name,one,96,8,separate,0,ring,ring,true,2216,"ring"
plate,name,one,96,8,separate,0,plate,plate,true,2213,"plate"
l-shape,name,one,96,8,separate,0,l-shape,l-shape,true,2213,"l-shape"
t-shape,name,one,96,8,separate,0,t-shape,t-shape,true,2143,"t-shape"
cross,name,one,96,8,separate,0,cross,t-shape,false,2144,"t-shape"
staircase,name,one,96,8,separate,0,staircase,staircase,true,2231,"staircase"
arch,name,one,96,8,separate,0,arch,arch,true,2231,"arch"
wide-1,longest,one,96,8,separate,0,width,width,true,2057,"width"
wide-2,longest,one,96,8,separate,0,width,depth,false,2057,"depth"
wide-3,longest,one,96,8,separate,0,width,width,true,2267,"width"
tall-1,longest,one,96,8,separate,0,height,height,true,2268,"height"
tall-2,longest,one,96,8,separate,0,height,height,true,2205,"height"
tall-3,longest,one,96,8,separate,0,height,height,true,2205,"height"
deep-1,longest,one,96,8,separate,0,depth,width,false,2078,"width"
deep-2,longest,one,96,8,separate,0,depth,depth,true,2078,"depth"
deep-3,longest,one,96,8,separate,0,depth,width,false,2215,"width"
one-block,parts,one,96,8,separate,0,1,1,true,2216,"1"
one-block,floating,one,96,8,separate,0,no,no,true,2010,"No"
one-ball,parts,one,96,8,separate,0,1,1,true,2003,"1"
one-ball,floating,one,96,8,separate,0,no,no,true,1983,"No"
one-capped,parts,one,96,8,separate,0,1,1,true,1984,"1"
one-capped,floating,one,96,8,separate,0,no,no,true,2011,"No"
two-floor,parts,one,96,8,separate,0,2,2,true,2003,"2"
two-floor,floating,one,96,8,separate,0,no,no,true,2004,"No"
two-air,parts,one,96,8,separate,0,2,2,true,2004,"2"
two-air,floating,one,96,8,separate,0,yes,yes,true,2150,"Yes. The top cube is not connected"
two-air-side,parts,one,96,8,separate,0,2,1,false,2003,"1"
two-air-side,floating,one,96,8,separate,0,yes,no,false,2241,"No"
three-floor,parts,one,96,8,separate,0,1,1,true,2464,"1"
three-floor,floating,one,96,8,separate,0,no,no,true,1779,"No"
three-one-air,parts,one,96,8,separate,0,3,3,true,3600,"3"
three-one-air,floating,one,96,8,separate,0,yes,yes,true,2557,"Yes. The top cube is not resting"
three-two-air,parts,one,96,8,separate,0,3,2,false,2470,"2"
three-two-air,floating,one,96,8,separate,0,yes,yes,true,3572,"Yes. The cluster of cubes in the"
four-floor,parts,one,96,8,separate,0,4,4,true,1479,"4"
four-floor,floating,one,96,8,separate,0,no,no,true,1973,"No"
four-one-air,parts,one,96,8,separate,0,2,1,false,1974,"1"
four-one-air,floating,one,96,8,separate,0,yes,no,false,2011,"No"
four-two-air,parts,one,96,8,separate,0,4,2,false,2003,"2"
four-two-air,floating,one,96,8,separate,0,yes,yes,true,2184,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,8,separate,0,front,left,false,1892,"left"
mark-front-b,mark,one,96,8,separate,0,front,front,true,2459,"front"
mark-back-a,mark,one,96,8,separate,0,back,right,false,2718,"right"
mark-back-b,mark,one,96,8,separate,0,back,right,false,1682,"right"
mark-left-a,mark,one,96,8,separate,0,left,right,false,1129,"right"
mark-left-b,mark,one,96,8,separate,0,left,right,false,1347,"right"
mark-right-a,mark,one,96,8,separate,0,right,right,true,1892,"right"
mark-right-b,mark,one,96,8,separate,0,right,right,true,1480,"right"
ball,name,one,96,16,separate,0,ball,cube,false,2158,"cube"
cube,name,one,96,16,separate,0,cube,cube,true,2153,"cube"
pillar,name,one,96,16,separate,0,pillar,pillar,true,2160,"pillar"
cone,name,one,96,16,separate,0,cone,pyramid,false,2159,"pyramid"
pyramid,name,one,96,16,separate,0,pyramid,pyramid,true,2241,"pyramid"
ring,name,one,96,16,separate,0,ring,ring,true,2241,"ring"
plate,name,one,96,16,separate,0,plate,plate,true,2262,"plate"
l-shape,name,one,96,16,separate,0,l-shape,l-shape,true,2263,"l-shape"
t-shape,name,one,96,16,separate,0,t-shape,t-shape,true,2100,"t-shape"
cross,name,one,96,16,separate,0,cross,cross,true,2101,"cross"
staircase,name,one,96,16,separate,0,staircase,staircase,true,2229,"staircase"
arch,name,one,96,16,separate,0,arch,arch,true,2228,"arch"
wide-1,longest,one,96,16,separate,0,width,depth,false,2211,"depth"
wide-2,longest,one,96,16,separate,0,width,width,true,2213,"width"
wide-3,longest,one,96,16,separate,0,width,width,true,2227,"width"
tall-1,longest,one,96,16,separate,0,height,height,true,2226,"height"
tall-2,longest,one,96,16,separate,0,height,height,true,2210,"height"
tall-3,longest,one,96,16,separate,0,height,height,true,2210,"height"
