stimulus,question,views,size,grid,mode,examples,grammar,truth,parsed,correct,ms,said
ball,name,fourIso,96,32,separate,0,false,ball,ball,true,6292,"ball"
cube,name,fourIso,96,32,separate,0,false,cube,cube,true,6286,"cube"
pillar,name,fourIso,96,32,separate,0,false,pillar,pillar,true,6235,"pillar"
cone,name,fourIso,96,32,separate,0,false,cone,cone,true,6237,"cone"
pyramid,name,fourIso,96,32,separate,0,false,pyramid,pyramid,true,6144,"pyramid"
ring,name,fourIso,96,32,separate,0,false,ring,ring,true,6146,"ring"
plate,name,fourIso,96,32,separate,0,false,plate,plate,true,6284,"plate"
l-shape,name,fourIso,96,32,separate,0,false,l-shape,l-shape,true,6289,"l-shape"
t-shape,name,fourIso,96,32,separate,0,false,t-shape,t-shape,true,6297,"t-shape"
cross,name,fourIso,96,32,separate,0,false,cross,cross,true,6296,"cross"
staircase,name,fourIso,96,32,separate,0,false,staircase,staircase,true,6256,"staircase"
arch,name,fourIso,96,32,separate,0,false,arch,arch,true,6258,"arch"
wide-1,longest,fourIso,96,32,separate,0,false,width,width,true,6167,"width"
wide-2,longest,fourIso,96,32,separate,0,false,width,width,true,6170,"width"
wide-3,longest,fourIso,96,32,separate,0,false,width,width,true,6328,"width"
tall-1,longest,fourIso,96,32,separate,0,false,height,height,true,6326,"height"
tall-2,longest,fourIso,96,32,separate,0,false,height,height,true,6254,"height"
tall-3,longest,fourIso,96,32,separate,0,false,height,height,true,6255,"height"
deep-1,longest,fourIso,96,32,separate,0,false,depth,width,false,6237,"width"
deep-2,longest,fourIso,96,32,separate,0,false,depth,width,false,6243,"width"
deep-3,longest,fourIso,96,32,separate,0,false,depth,width,false,6286,"width"
one-block,parts,fourIso,96,32,separate,0,false,1,1,true,6286,"1"
one-block,floating,fourIso,96,32,separate,0,false,no,no,true,6018,"No"
one-ball,parts,fourIso,96,32,separate,0,false,1,1,true,6010,"1"
one-ball,floating,fourIso,96,32,separate,0,false,no,no,true,6194,"No"
one-capped,parts,fourIso,96,32,separate,0,false,1,1,true,6186,"1"
one-capped,floating,fourIso,96,32,separate,0,false,no,no,true,5865,"No"
two-floor,parts,fourIso,96,32,separate,0,false,2,2,true,5865,"2"
