stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
ball,name,one,64,32,separate,0,ball,cone,false,1818,"cone"
cube,name,one,64,32,separate,0,cube,cube,true,1812,"cube"
pillar,name,one,64,32,separate,0,pillar,pillar,true,2100,"pillar"
cone,name,one,64,32,separate,0,cone,cone,true,2104,"cone"
pyramid,name,one,64,32,separate,0,pyramid,pyramid,true,2241,"pyramid"
ring,name,one,64,32,separate,0,ring,ring,true,2241,"ring"
plate,name,one,64,32,separate,0,plate,plate,true,2215,"plate"
l-shape,name,one,64,32,separate,0,l-shape,l-shape,true,2215,"l-shape"
t-shape,name,one,64,32,separate,0,t-shape,t-shape,true,2238,"t-shape"
cross,name,one,64,32,separate,0,cross,cross,true,2238,"cross"
staircase,name,one,64,32,separate,0,staircase,staircase,true,2235,"staircase"
arch,name,one,64,32,separate,0,arch,arch,true,2236,"arch"
wide-1,longest,one,64,32,separate,0,width,width,true,2210,"width"
wide-2,longest,one,64,32,separate,0,width,depth,false,2210,"depth"
wide-3,longest,one,64,32,separate,0,width,width,true,2173,"width"
tall-1,longest,one,64,32,separate,0,height,height,true,2173,"height"
tall-2,longest,one,64,32,separate,0,height,height,true,2126,"height"
tall-3,longest,one,64,32,separate,0,height,height,true,2127,"height"
deep-1,longest,one,64,32,separate,0,depth,width,false,2203,"width"
deep-2,longest,one,64,32,separate,0,depth,depth,true,2204,"depth"
deep-3,longest,one,64,32,separate,0,depth,width,false,2190,"width"
one-block,parts,one,64,32,separate,0,1,1,true,2189,"1"
one-block,floating,one,64,32,separate,0,no,no,true,1950,"No"
one-ball,parts,one,64,32,separate,0,1,1,true,1943,"1"
one-ball,floating,one,64,32,separate,0,no,no,true,1992,"No"
one-capped,parts,one,64,32,separate,0,1,1,true,1992,"1"
one-capped,floating,one,64,32,separate,0,no,no,true,1903,"No"
two-floor,parts,one,64,32,separate,0,2,2,true,1895,"2"
two-floor,floating,one,64,32,separate,0,no,no,true,2002,"No"
two-air,parts,one,64,32,separate,0,2,2,true,2003,"2"
two-air,floating,one,64,32,separate,0,yes,yes,true,2130,"Yes. The top cube is not resting"
two-air-side,parts,one,64,32,separate,0,2,2,true,1984,"2"
two-air-side,floating,one,64,32,separate,0,yes,no,false,2267,"No"
three-floor,parts,one,64,32,separate,0,3,1,false,2614,"1"
three-floor,floating,one,64,32,separate,0,no,no,true,2472,"No"
three-one-air,parts,one,64,32,separate,0,3,3,true,2476,"3"
three-one-air,floating,one,64,32,separate,0,yes,no,false,2605,"No"
three-two-air,parts,one,64,32,separate,0,3,3,true,2591,"3"
three-two-air,floating,one,64,32,separate,0,yes,yes,true,2830,"Yes. The two spherical-looking objects appear"
four-floor,parts,one,64,32,separate,0,4,3,false,2361,"3"
four-floor,floating,one,64,32,separate,0,no,yes,false,2992,"Yes. In the central column, there"
four-one-air,parts,one,64,32,separate,0,4,2,false,2002,"2"
four-one-air,floating,one,64,32,separate,0,yes,no,false,1473,"No"
four-two-air,parts,one,64,32,separate,0,4,4,true,2586,"4"
four-two-air,floating,one,64,32,separate,0,yes,yes,true,4008,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,64,32,separate,0,front,left,false,1574,"left"
mark-front-b,mark,one,64,32,separate,0,front,front,true,2456,"front"
mark-back-a,mark,one,64,32,separate,0,back,right,false,2489,"right"
mark-back-b,mark,one,64,32,separate,0,back,right,false,1594,"right"
mark-left-a,mark,one,64,32,separate,0,left,right,false,1216,"right"
mark-left-b,mark,one,64,32,separate,0,left,right,false,1447,"right"
mark-right-a,mark,one,64,32,separate,0,right,right,true,1950,"right"
mark-right-b,mark,one,64,32,separate,0,right,right,true,1501,"right"
ball,name,one,96,32,separate,0,ball,ball,true,2194,"ball"
cube,name,one,96,32,separate,0,cube,cube,true,2198,"cube"
pillar,name,one,96,32,separate,0,pillar,pillar,true,2157,"pillar"
cone,name,one,96,32,separate,0,cone,cone,true,2156,"cone"
pyramid,name,one,96,32,separate,0,pyramid,pyramid,true,2112,"pyramid"
ring,name,one,96,32,separate,0,ring,ring,true,2112,"ring"
plate,name,one,96,32,separate,0,plate,plate,true,2227,"plate"
l-shape,name,one,96,32,separate,0,l-shape,l-shape,true,2227,"l-shape"
t-shape,name,one,96,32,separate,0,t-shape,t-shape,true,2234,"t-shape"
cross,name,one,96,32,separate,0,cross,cross,true,2236,"cross"
staircase,name,one,96,32,separate,0,staircase,staircase,true,2096,"staircase"
arch,name,one,96,32,separate,0,arch,arch,true,2096,"arch"
wide-1,longest,one,96,32,separate,0,width,width,true,2214,"width"
wide-2,longest,one,96,32,separate,0,width,depth,false,2213,"depth"
wide-3,longest,one,96,32,separate,0,width,width,true,2317,"width"
tall-1,longest,one,96,32,separate,0,height,height,true,2316,"height"
tall-2,longest,one,96,32,separate,0,height,height,true,2216,"height"
tall-3,longest,one,96,32,separate,0,height,height,true,2216,"height"
deep-1,longest,one,96,32,separate,0,depth,depth,true,2235,"depth"
deep-2,longest,one,96,32,separate,0,depth,depth,true,2236,"depth"
deep-3,longest,one,96,32,separate,0,depth,width,false,2220,"width"
one-block,parts,one,96,32,separate,0,1,1,true,2220,"1"
one-block,floating,one,96,32,separate,0,no,no,true,1872,"No"
one-ball,parts,one,96,32,separate,0,1,1,true,1865,"1"
one-ball,floating,one,96,32,separate,0,no,no,true,2006,"No"
one-capped,parts,one,96,32,separate,0,1,1,true,2008,"1"
one-capped,floating,one,96,32,separate,0,no,no,true,2031,"No"
two-floor,parts,one,96,32,separate,0,2,2,true,2018,"2"
two-floor,floating,one,96,32,separate,0,no,no,true,1922,"No"
two-air,parts,one,96,32,separate,0,2,2,true,1922,"2"
two-air,floating,one,96,32,separate,0,yes,yes,true,2163,"Yes. The top cube is not resting"
two-air-side,parts,one,96,32,separate,0,2,2,true,2008,"2"
two-air-side,floating,one,96,32,separate,0,yes,no,false,2239,"No"
three-floor,parts,one,96,32,separate,0,3,3,true,2583,"3"
three-floor,floating,one,96,32,separate,0,no,no,true,2542,"No"
three-one-air,parts,one,96,32,separate,0,3,3,true,2427,"3"
three-one-air,floating,one,96,32,separate,0,yes,no,false,2493,"No"
three-two-air,parts,one,96,32,separate,0,3,3,true,2608,"3"
three-two-air,floating,one,96,32,separate,0,yes,yes,true,2850,"Yes. The two spherical shapes are floating"
four-floor,parts,one,96,32,separate,0,4,3,false,2368,"3"
four-floor,floating,one,96,32,separate,0,no,no,true,2018,"No"
four-one-air,parts,one,96,32,separate,0,4,2,false,2003,"2"
four-one-air,floating,one,96,32,separate,0,yes,yes,true,2861,"Yes. The cube at the back ("
four-two-air,parts,one,96,32,separate,0,4,4,true,1858,"4"
four-two-air,floating,one,96,32,separate,0,yes,yes,true,2504,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,32,separate,0,front,front,true,1556,"front"
mark-front-b,mark,one,96,32,separate,0,front,front,true,2246,"front"
mark-back-a,mark,one,96,32,separate,0,back,right,false,2189,"right"
mark-back-b,mark,one,96,32,separate,0,back,right,false,2245,"right"
mark-left-a,mark,one,96,32,separate,0,left,right,false,1681,"right"
mark-left-b,mark,one,96,32,separate,0,left,right,false,2664,"right"
