stimulus,question,views,size,grid,mode,examples,truth,parsed,correct,ms,said
ball,name,one,96,32,separate,0,ball,ball,true,2262,"ball"
cube,name,one,96,32,separate,0,cube,cube,true,2271,"cube"
pillar,name,one,96,32,separate,0,pillar,pillar,true,2101,"pillar"
cone,name,one,96,32,separate,0,cone,cone,true,2095,"cone"
pyramid,name,one,96,32,separate,0,pyramid,pyramid,true,2222,"pyramid"
ring,name,one,96,32,separate,0,ring,ring,true,2226,"ring"
plate,name,one,96,32,separate,0,plate,plate,true,2233,"plate"
l-shape,name,one,96,32,separate,0,l-shape,l-shape,true,2232,"l-shape"
t-shape,name,one,96,32,separate,0,t-shape,t-shape,true,2229,"t-shape"
cross,name,one,96,32,separate,0,cross,cross,true,2229,"cross"
staircase,name,one,96,32,separate,0,staircase,staircase,true,2236,"staircase"
arch,name,one,96,32,separate,0,arch,arch,true,2237,"arch"
wide-1,longest,one,96,32,separate,0,width,width,true,2213,"width"
wide-2,longest,one,96,32,separate,0,width,depth,false,2213,"depth"
wide-3,longest,one,96,32,separate,0,width,width,true,2176,"width"
tall-1,longest,one,96,32,separate,0,height,height,true,2176,"height"
tall-2,longest,one,96,32,separate,0,height,height,true,2201,"height"
tall-3,longest,one,96,32,separate,0,height,height,true,2201,"height"
deep-1,longest,one,96,32,separate,0,depth,depth,true,2140,"depth"
deep-2,longest,one,96,32,separate,0,depth,depth,true,2141,"depth"
deep-3,longest,one,96,32,separate,0,depth,width,false,2136,"width"
one-block,parts,one,96,32,separate,0,1,1,true,2136,"1"
one-block,floating,one,96,32,separate,0,no,no,true,1893,"No"
one-ball,parts,one,96,32,separate,0,1,1,true,1886,"1"
one-ball,floating,one,96,32,separate,0,no,no,true,1987,"No"
one-capped,parts,one,96,32,separate,0,1,1,true,1988,"1"
one-capped,floating,one,96,32,separate,0,no,no,true,2021,"No"
two-floor,parts,one,96,32,separate,0,2,2,true,2014,"2"
two-floor,floating,one,96,32,separate,0,no,no,true,2000,"No"
two-air,parts,one,96,32,separate,0,2,2,true,2001,"2"
two-air,floating,one,96,32,separate,0,yes,yes,true,2168,"Yes. The top cube is not resting"
two-air-side,parts,one,96,32,separate,0,2,2,true,2021,"2"
two-air-side,floating,one,96,32,separate,0,yes,no,false,2246,"No"
three-floor,parts,one,96,32,separate,0,3,3,true,2456,"3"
three-floor,floating,one,96,32,separate,0,no,no,true,2446,"No"
three-one-air,parts,one,96,32,separate,0,3,3,true,2577,"3"
three-one-air,floating,one,96,32,separate,0,yes,no,false,2572,"No"
three-two-air,parts,one,96,32,separate,0,3,3,true,2581,"3"
three-two-air,floating,one,96,32,separate,0,yes,yes,true,2820,"Yes. The two spherical shapes are floating"
four-floor,parts,one,96,32,separate,0,4,3,false,2337,"3"
four-floor,floating,one,96,32,separate,0,no,no,true,2028,"No"
four-one-air,parts,one,96,32,separate,0,4,2,false,2024,"2"
four-one-air,floating,one,96,32,separate,0,yes,yes,true,3008,"Yes. The cube at the back ("
four-two-air,parts,one,96,32,separate,0,4,4,true,2008,"4"
four-two-air,floating,one,96,32,separate,0,yes,yes,true,2574,"Yes. In the three-quarter front-right"
mark-front-a,mark,one,96,32,separate,0,front,front,true,1624,"front"
mark-front-b,mark,one,96,32,separate,0,front,front,true,2247,"front"
mark-back-a,mark,one,96,32,separate,0,back,right,false,2198,"right"
mark-back-b,mark,one,96,32,separate,0,back,right,false,2013,"right"
mark-left-a,mark,one,96,32,separate,0,left,right,false,1469,"right"
mark-left-b,mark,one,96,32,separate,0,left,right,false,2533,"right"
mark-right-a,mark,one,96,32,separate,0,right,right,true,2255,"right"
mark-right-b,mark,one,96,32,separate,0,right,right,true,1264,"right"
ball,name,two,96,32,separate,0,ball,ball,true,3468,"ball"
cube,name,two,96,32,separate,0,cube,cube,true,3460,"cube"
pillar,name,two,96,32,separate,0,pillar,pillar,true,3548,"pillar"
cone,name,two,96,32,separate,0,cone,pyramid,false,3543,"pyramid"
pyramid,name,two,96,32,separate,0,pyramid,pyramid,true,3409,"pyramid"
ring,name,two,96,32,separate,0,ring,plate,false,3409,"plate"
plate,name,two,96,32,separate,0,plate,plate,true,3577,"plate"
l-shape,name,two,96,32,separate,0,l-shape,l-shape,true,3578,"l-shape"
t-shape,name,two,96,32,separate,0,t-shape,t-shape,true,3580,"t-shape"
cross,name,two,96,32,separate,0,cross,cross,true,3583,"cross"
staircase,name,two,96,32,separate,0,staircase,staircase,true,3449,"staircase"
arch,name,two,96,32,separate,0,arch,arch,true,3450,"arch"
wide-1,longest,two,96,32,separate,0,width,width,true,3569,"width"
wide-2,longest,two,96,32,separate,0,width,width,true,3571,"width"
wide-3,longest,two,96,32,separate,0,width,width,true,3612,"width"
tall-1,longest,two,96,32,separate,0,height,height,true,3608,"height"
tall-2,longest,two,96,32,separate,0,height,height,true,3504,"height"
tall-3,longest,two,96,32,separate,0,height,height,true,3508,"height"
deep-1,longest,two,96,32,separate,0,depth,width,false,3560,"width"
deep-2,longest,two,96,32,separate,0,depth,depth,true,3556,"depth"
deep-3,longest,two,96,32,separate,0,depth,width,false,3547,"width"
one-block,parts,two,96,32,separate,0,1,1,true,3549,"1"
one-block,floating,two,96,32,separate,0,no,no,true,3333,"No"
one-ball,parts,two,96,32,separate,0,1,1,true,3322,"1"
one-ball,floating,two,96,32,separate,0,no,no,true,3323,"No"
one-capped,parts,two,96,32,separate,0,1,1,true,3324,"1"
one-capped,floating,two,96,32,separate,0,no,no,true,3214,"No"
two-floor,parts,two,96,32,separate,0,2,2,true,3207,"2"
two-floor,floating,two,96,32,separate,0,no,no,true,3317,"No"
two-air,parts,two,96,32,separate,0,2,2,true,3318,"2"
two-air,floating,two,96,32,separate,0,yes,no,false,3262,"No"
two-air-side,parts,two,96,32,separate,0,2,2,true,3256,"2"
two-air-side,floating,two,96,32,separate,0,yes,yes,true,3793,"Yes. In the front view,"
three-floor,parts,two,96,32,separate,0,3,3,true,3652,"3"
three-floor,floating,two,96,32,separate,0,no,no,true,3812,"No"
three-one-air,parts,two,96,32,separate,0,3,3,true,4053,"3"
three-one-air,floating,two,96,32,separate,0,yes,yes,true,4306,"Yes. From the front view,"
three-two-air,parts,two,96,32,separate,0,3,3,true,3931,"3"
three-two-air,floating,two,96,32,separate,0,yes,yes,true,3451,"Yes. From the front view,"
four-floor,parts,two,96,32,separate,0,4,2,false,3316,"2"
four-floor,floating,two,96,32,separate,0,no,no,true,3825,"No"
four-one-air,parts,two,96,32,separate,0,4,2,false,4199,"2"
four-one-air,floating,two,96,32,separate,0,yes,no,false,4074,"No"
four-two-air,parts,two,96,32,separate,0,4,4,true,4063,"4"
four-two-air,floating,two,96,32,separate,0,yes,no,false,4170,"No"
mark-front-a,mark,two,96,32,separate,0,front,front,true,4175,"front"
mark-front-b,mark,two,96,32,separate,0,front,front,true,4177,"front"
mark-back-a,mark,two,96,32,separate,0,back,back,true,4175,"back"
mark-back-b,mark,two,96,32,separate,0,back,back,true,2533,"back"
mark-left-a,mark,two,96,32,separate,0,left,back,false,1990,"back"
mark-left-b,mark,two,96,32,separate,0,left,back,false,1520,"back"
mark-right-a,mark,two,96,32,separate,0,right,right,true,3665,"right"
mark-right-b,mark,two,96,32,separate,0,right,back,false,3193,"back"
ball,name,four,96,32,separate,0,ball,ball,true,6202,"ball"
cube,name,four,96,32,separate,0,cube,cube,true,6211,"cube"
pillar,name,four,96,32,separate,0,pillar,pillar,true,6283,"pillar"
cone,name,four,96,32,separate,0,cone,pyramid,false,6279,"pyramid"
pyramid,name,four,96,32,separate,0,pyramid,pyramid,true,6175,"pyramid"
ring,name,four,96,32,separate,0,ring,plate,false,6180,"plate"
